A,B,C,D,E,F,G,H,I,J,K,L
'CLt3_2pp','ACOAD3f','3HAD100','3HAD100','AACPS8','HACD5','EC55989_1175',,,'EC55989_4213','EC55989_3214','EC55989_4397'
'CLtex','ACOAD3f','3HAD40','3HAD100','ACACT5r','FACOAE100','EC55989_3595',,,'EC55989_4209','EC55989_1948','EC55989_2028'
'COBALT2tex','ACOAD3f','3HAD60','3HAD100','ACOAD5f','FACOAE100','EC55989_3794',,,'EC55989_4209','EC55989_1948','EC55989_2029'
'COBALT2tpp','ACOAD3f','3HAD80','3HAD100','CTECOAI6_copy1','CTECOAI7_copy1','EC55989_1860',,,'EC55989_4209','EC55989_1948','EC55989_4397'
'CPMPS','ACOAD3f','3OAR100','3HAD100','CTECOAI6_copy1','FACOAE161','EC55989_0431',,,'EC55989_4209','EC55989_2028','EC55989_3214'
'CS','ACOAD3f','3OAR40','3HAD100','CTECOAI7_copy1','FACOAE141','EC55989_0028',,,'EC55989_4209','EC55989_2029','EC55989_3214'
'CTPS2','ACOAD3f','3OAR60','3HAD100','ECOAH5','FACOAE100','EC55989_0097',,,'EC55989_4209','EC55989_3214','EC55989_4397'
'CU2tex','ACOAD3f','3OAR80','3HAD100','FACOAE100','FACOAE120','EC55989_4246',,,'EC55989_4206','EC55989_1948','EC55989_2028'
'CU2tpp','ACOAD3f','3OAS100','3HAD100','FACOAE100','HACD5','EC55989_1210',,,'EC55989_4206','EC55989_1948','EC55989_2029'
'CYSS','ACOAD3f','3OAS60','3HAD100','FACOAE141','FACOAE161','EC55989_0167',,,'EC55989_4206','EC55989_1948','EC55989_4397'
'CYSTL','ACOAD3f','3OAS80','3HAD120','3HAD121','ACACT1r','EC55989_0430',,,'EC55989_4206','EC55989_2028','EC55989_3214'
'DAPDC','ACOAD4f','3HAD100','3HAD120','3HAD121','ACACT2r','EC55989_1450',,,'EC55989_4206','EC55989_2029','EC55989_3214'
'DAPE','ACOAD4f','3OAR100','3HAD120','3HAD121','ACACT3r','EC55989_3037',,,'EC55989_4206','EC55989_3214','EC55989_4397'
'DASYN160','ACOAD4f','3OAS100','3HAD120','3HAD121','ACACT4r','EC55989_3038',,,'EC55989_4289','EC55989_4800','EC55989_3884'
'DASYN161','ALATA_L','VPAMTr_copy1','3HAD120','3HAD121','ACACT5r','EC55989_0488',,,'EC55989_4289','EC55989_4800','EC55989_3888'
'DB4PS','ASNS2','ASNS1','3HAD120','3HAD121','ACOAD1f','EC55989_0024',,,'EC55989_4289','EC55989_4800','EC55989_3886'
