A,B,C,D,E,F,G,H,I,J,K,L
'AGPAT161','ACACT3r','3HAD80','EX_o2_e','ENTERES2','FE3tex','EC042_3700','EC042_3079','EC042_2709','EC042_4119','EC042_1945','EC042_4293'
'AGPR','ACACT3r','3OAR100','EX_o2_e','FE3abcpp','FEENTERabcpp','EC042_0130','EC042_3077','EC042_2709','EC042_4119','EC042_2017','EC042_3135'
'AHCYSNS','ACACT3r','3OAR40','EX_o2_e','FE3abcpp','FEENTERexs','EC042_4723','EC042_2733','EC042_1847','EC042_4119','EC042_2018','EC042_3135'
'AICART','ACACT3r','3OAR60','EX_o2_e','FE3abcpp','FEENTERtex','EC042_2778','EC042_2733','EC042_1848','EC042_4119','EC042_3135','EC042_4293'
'AIRC2','ACACT3r','3OAR80','EX_o2_e','FE3abcpp','FEENTERtonex','EC042_1019','EC042_2733','EC042_1850','EC042_4120','EC042_1945','EC042_2017'
'AIRC3','ACACT3r','3OAS100','EX_o2_e','FE3abcpp','FEENTERtpp','EC042_2262','EC042_2733','EC042_1846','EC042_4120','EC042_1945','EC042_2018'
'ALAALAr','ACACT3r','3OAS60','EX_o2_e','FE3abcpp','SERASr','EC042_0916','EC042_2733','EC042_1849','EC042_4120','EC042_1945','EC042_4293'
'ALAR','ACACT3r','3OAS80','EX_o2_e','FE3tex','FEENTERabcpp','EC042_4230','EC042_2733','EC042_1851','EC042_4120','EC042_2017','EC042_3135'
'AMAOTr','ACACT4r','3HAD100','EX_o2_e','FE3tex','FEENTERexs','EC042_4695','EC042_2732','EC042_1847','EC042_4120','EC042_2018','EC042_3135'
'AMPMS2','ACACT4r','3OAR100','EX_o2_e','FE3tex','FEENTERtex','EC042_0858','EC042_2732','EC042_1848','EC042_4120','EC042_3135','EC042_4293'
'ANPRT','ACACT4r','3OAS100','EX_o2_e','FE3tex','FEENTERtonex','EC042_3486','EC042_2732','EC042_1850','EC042_4118','EC042_1945','EC042_2017'
'ANS','ACOAD1f','3HAD100','EX_o2_e','FE3tex','FEENTERtpp','EC042_3333','EC042_2732','EC042_1846','EC042_4118','EC042_1945','EC042_2018'
'AOXSr2','ACOAD1f','3HAD40','EX_o2_e','FE3tex','SERASr','EC042_1265','EC042_2732','EC042_1849','EC042_4118','EC042_1945','EC042_4293'
'APRAUR','ACOAD1f','3HAD60','EX_o2_e','G6PDH2r','RPE','EC042_2800','EC042_2732','EC042_1851','EC042_4118','EC042_2017','EC042_3135'
'ARGSL','ACOAD1f','3HAD80','EX_o2_e','G6PDH2r','TKT2','EC042_2799','EC042_4381','EC042_4209','EC042_4118','EC042_2018','EC042_3135'
