A,B,C,D,E,F,G,H,I,J,K,L
'PGSA160','RPE','TALA','CLIPAtex','K2L4Aabcpp','RPI',,,,'KPN_03339','KPN_00484','KPN_04843'
'PGSA161','RPE','TKT1','CLIPAtex','K2L4Atex','RPI',,,,'KPN_03339','KPN_00930','KPN_00935'
'PGSA181','RPE','TKT2','CLIPAtex','RPI','EX_kdo2lipid4_e',,,,'KPN_03339','KPN_00930','KPN_03348'
'PHETA1','RPI','TALA','CO2tex','ENO','O2tex',,,,'KPN_03339','KPN_00930','KPN_04843'
'PItex','RPI','TKT1','CO2tex','ENO','O2tpp',,,,'KPN_03801','KPN_00781','KPN_03757'
'PMANM','RPI','TKT2','CO2tex','ENO','EX_o2_e',,,,'KPN_03866','KPN_02643','KPN_04646'
'PPND','TALA','TKT1','CO2tex','FE2tex','Htex',,,,'KPN_03866','KPN_02642','KPN_04646'
'PPNDH','TALA','TKT2','CO2tex','FE2tex','EX_h_e',,,,'KPN_00310','KPN_04399','KPN_04325'
'PRAGSr','TKT1','TKT2','CO2tex','FE3tex','Htex',,,,'KPN_00796','KPN_04395','KPN_04245'
'PRAIS','TRPS1','TRPS2','CO2tex','FE3tex','EX_h_e',,,,'KPN_00792','KPN_04395','KPN_04245'
'PRAIi','TRPS1','TRPS3','CO2tex','FEROpp','Htex',,,,'KPN_04395','KPN_04245','KPN_00795'
'PRAMPC','VALTA','VPAMTr','CO2tex','FEROpp','EX_h_e',,,,'KPN_03767','KPN_00164','KPN_02849'
'PRASCSi',,,'CO2tex','Htex','O2tex',,,,'KPN_03644','KPN_02629','KPN_04245'
'PRATPP',,,'CO2tex','Htex','EX_fe2_e',,,,'KPN_02773','KPN_04008','KPN_00778'
'PRFGS',,,'CO2tex','Htex','EX_fe3_e',,,,'KPN_02773','KPN_04008','KPN_00779'
'PRMICI',,,'CO2tex','Htex','EX_o2_e',,,,'KPN_02773','KPN_04008','KPN_00777'
'PSCVT',,,'CO2tex','O2tex','PGM',,,,'KPN_00484','KPN_02902','KPN_00931'
'PSD160',,,'CO2tex','O2tex','EX_h_e',,,,'KPN_01274','KPN_00873','KPN_03461'
'PSD161',,,'CO2tex','O2tpp','PGM',,,,'KPN_03355','KPN_03773','KPN_02160'
'PSD181',,,'CO2tex','PGM','EX_o2_e',,,,'KPN_02643','KPN_03007','KPN_04646'
'PSSA160',,,'CO2tex','EX_fe2_e','EX_h_e',,,,'KPN_02643','KPN_03006','KPN_04646'
'PSSA161',,,'CO2tex','EX_fe3_e','EX_h_e',,,,'KPN_02642','KPN_03007','KPN_04646'
'PSSA181',,,'CO2tex','EX_h_e','EX_o2_e',,,,'KPN_02642','KPN_03006','KPN_04646'
'S7PI',,,'CO2tpp','ENO','O2tex',,,,'KPN_04288','KPN_02491','KPN_02497'
'SADT2',,,'CO2tpp','ENO','O2tpp',,,,'KPN_03357','KPN_02799','KPN_01127'
'SDPDS',,,'CO2tpp','ENO','EX_o2_e',,,,,,
'SDPTA',,,'CO2tpp','FE2tex','Htex',,,,,,
'SHK3Dr',,,'CO2tpp','FE2tex','EX_h_e',,,,,,
'SHKK',,,'CO2tpp','FE3tex','Htex',,,,,,
'SHSL1',,,'CO2tpp','FE3tex','EX_h_e',,,,,,
'SO4tex',,,'CO2tpp','FEROpp','Htex',,,,,,
'SULR',,,'CO2tpp','FEROpp','EX_h_e',,,,,,
'SULabcpp',,,'CO2tpp','Htex','O2tex',,,,,,
'T2DECAI',,,'CO2tpp','Htex','EX_fe2_e',,,,,,
'TDPDRE',,,'CO2tpp','Htex','EX_fe3_e',,,,,,
'TDPDRR',,,'CO2tpp','Htex','EX_o2_e',,,,,,
'TDPGDH',,,'CO2tpp','O2tex','PGM',,,,,,
'TDSK',,,'CO2tpp','O2tex','EX_h_e',,,,,,
'THDPS',,,'CO2tpp','O2tpp','PGM',,,,,,
'THRS',,,'CO2tpp','PGM','EX_o2_e',,,,,,
'TMDS',,,'CO2tpp','EX_fe2_e','EX_h_e',,,,,,
'TYRTA',,,'CO2tpp','EX_fe3_e','EX_h_e',,,,,,
'U23GAAT',,,'CO2tpp','EX_h_e','EX_o2_e',,,,,,
'UAAGDS',,,'CSND','CYTD','CYTK1',,,,,,
'UAGAAT',,,'CYTD','CYTDH','CYTK1',,,,,,
'UAGCVT',,,'CYTD','CYTK1','RBK',,,,,,
'UAGDP',,,'DHORD2','FRD2','O2tex',,,,,,
'UAGPT3',,,'DHORD2','FRD2','O2tpp',,,,,,
'UAMAGS',,,'DHORD2','FRD2','QMO3',,,,,,
'UAMAS',,,'DHORD2','FRD2','SPODM',,,,,,
'UAPGR',,,'DHORD2','FRD2','EX_o2_e',,,,,,
'UDCPDP',,,'DHORD5','NADHNQR','O2tex',,,,,,
'UDPG4E',,,'DHORD5','NADHNQR','O2tpp',,,,,,
'UDPGD',,,'DHORD5','NADHNQR','EX_o2_e',,,,,,
'UGMDDS',,,'DURIK1','DUTPDP','URIDK2r',,,,,,
'UHGADA',,,'EAR100x','EAR100y','ECOAH6',,,,,,
'UMPK',,,'EAR100x','EAR100y','HACD6i',,,,,,
'USHD',,,'EAR100x','EAR100y','ACACT6r',,,,,,
'EX_glc__D_e',,,'EAR120x','EAR120y','ECOAH6',,,,,,
'EX_nh4_e',,,'EAR120x','EAR120y','FACOAE120',,,,,,
'EX_pi_e',,,'EAR120x','EAR120y','HACD6i',,,,,,
'EX_so4_e',,,'EAR120x','EAR120y','ACACT6r',,,,,,
'BIOMASS_',,,'EAR140x','EAR140y','FACOAE140',,,,,,
,,,'EAR160x','EAR160y','FACOAE160',,,,,,
,,,'ECOAH6','FA140ACPHi','FACOAE140',,,,,,
,,,'ECOAH7','FACOAE160','PGPP160',,,,,,
,,,'ECOAH8','FACOAE181','PGPP181',,,,,,
,,,'EDTXS3','K2L4Aabcpp','RPI',,,,,,
,,,'EDTXS3','K2L4Atex','RPI',,,,,,
,,,'EDTXS3','RPI','EX_kdo2lipid4_e',,,,,,
,,,'EDTXS4','K2L4Aabcpp','RPI',,,,,,
,,,'EDTXS4','K2L4Atex','RPI',,,,,,
,,,'EDTXS4','RPI','EX_kdo2lipid4_e',,,,,,
,,,'ENO','ETOHt2rpp','O2tex',,,,,,
,,,'ENO','ETOHt2rpp','O2tpp',,,,,,
,,,'ENO','ETOHt2rpp','EX_o2_e',,,,,,
